0,4,-7,-8,9,3,-3,-1,-6,-10,-1,-10,-3,1,0,5,1,-5,1,-8
1,7,-5,-8,-1,7,-8,-2,1,-9,-4,2,4,-10,4,-3,9,-5,3,-8
8,-3,-6,7,-5,9,-2,-10,3,-7,-6,0,-4,5,7,-5,-4,-3,-10,-6
0,4,-4,-1,3,7,3,8,-6,6,-1,-7,4,-5,2,4,-6,-1,-6,-7
-5,-1,-7,-4,0,1,9,3,-2,9,-7,7,-5,9,-6,5,-5,7,-1,5
-1,9,9,2,-4,6,-3,1,4,-1,-7,-7,9,9,4,-5,3,-7,3,-2
-8,6,-6,9,-6,7,0,2,-2,2,-5,-3,9,-9,-8,4,-9,3,-4,-7
-7,9,3,-1,0,-10,0,3,1,-3,4,-10,4,6,-7,-10,7,-6,9,0
2,-10,-2,-7,6,-2,7,-5,5,5,8,-6,-5,10,-9,2,1,2,-1,10
9,-9,-5,-3,7,-6,9,-1,-2,6,-6,-2,-9,-7,2,3,-1,4,3,-9
4,-7,7,7,-4,10,-6,8,3,8,8,-5,-4,5,4,-2,-3,-6,10,-3
8,-4,-8,-2,9,-3,-6,10,2,7,8,4,-8,-7,-4,-6,3,7,5,-5
-6,-9,-5,-10,10,7,10,0,-10,-3,-10,7,-3,-1,-5,-8,-2,3,-1,1
2,7,6,-10,9,-5,-10,-4,6,10,10,10,5,4,1,3,-7,-4,-3,6
2,4,6,-2,-7,-9,-9,-4,-8,4,-7,10,2,9,10,1,-1,-9,-2,4
3,-10,-7,4,8,2,5,-10,1,2,-7,-5,10,-8,-3,-2,-7,5,6,-2
5,-10,0,2,0,-3,-4,4,7,0,3,-1,-5,2,-2,9,-8,1,7,2
-1,0,-7,8,-2,8,-1,-5,4,9,-9,1,-6,8,-7,-7,5,6,-5,5
0,-10,-1,-5,0,-4,-4,-6,5,2,8,3,6,5,-5,7,1,-8,-2,9
8,-9,-4,2,-1,-9,0,4,2,0,6,-2,0,3,8,7,10,-8,0,2
6,-10,-8,-7,2,5,-4,8,8,9,6,-2,8,-7,8,0,-6,10,0,6
2,3,1,-4,1,-10,3,-4,-3,-8,-9,-3,7,-6,5,-1,-7,-10,4,10
10,9,-2,-7,-6,-4,1,7,6,9,8,1,-2,5,-10,-6,0,-10,3,3
4,-3,-6,5,-2,-10,6,-4,0,-2,2,-8,7,4,0,-1,-6,5,-7,1
-6,0,-3,6,6,2,8,-9,-10,-2,-2,2,1,-6,4,-4,5,4,-2,9
