-1,3,-4,-6,-3,0,0,2,-5,-5,3,-2,-1,2,-6,1,2,14,-9,-7
-2,2,-2,-3,-1,0,2,1,-1,-3,0,1,0,2,-4,3,2,9,-4,-6
-2,0,-4,7,-2,-1,5,-7,8,-3,0,1,7,2,4,2,8,-3,11,3
0,-1,6,-3,5,1,-1,6,-3,3,-4,2,-6,-1,-3,1,-6,-1,-7,-5
-3,-2,8,10,6,-3,2,-1,4,-3,-5,2,-2,-1,5,-5,-4,-11,5,-7
2,2,-6,-5,-5,0,-2,0,-5,-4,6,-5,1,1,-3,-2,3,9,-6,1
0,1,3,-3,2,-1,-2,5,-6,-3,0,-2,-6,0,-4,-3,-4,5,-11,-9
-6,-1,9,6,9,-1,7,3,6,-2,-10,7,-4,2,-2,5,-1,-3,-1,-15
-3,1,1,-2,-2,2,-1,0,1,5,-1,7,2,-3,1,3,-7,4,8,0
2,-1,1,-5,4,2,2,5,-1,2,-3,-1,-4,3,-6,6,4,1,-11,-1
0,-4,7,8,8,0,4,0,7,3,-7,2,-2,1,3,2,2,-16,3,1
1,-2,2,9,5,-4,4,-2,4,-7,-2,-6,-2,4,2,-4,9,-11,-4,-3
-1,1,-5,2,-4,0,2,-5,4,-1,2,1,6,1,2,2,5,2,8,4
-2,3,-5,-3,-8,1,-3,-3,-2,0,5,3,5,-3,1,-1,-5,11,8,1
-2,2,-2,-2,-3,0,0,0,-2,-3,2,1,1,0,-2,0,-1,9,-1,-5
-6,0,7,9,4,-3,3,-1,4,-5,-5,5,-1,-1,3,-3,-5,-3,6,-13
-5,1,6,3,4,-2,2,3,-1,-6,-4,3,-4,0,-2,-2,-5,4,-4,-16
3,-1,2,-4,2,1,-3,4,-4,3,0,-2,-4,-1,-2,-1,-3,-2,-7,2
-2,1,3,-3,-1,2,-3,2,-2,5,-1,6,-1,-4,0,1,-10,4,4,-2
1,0,-7,3,-2,-1,5,-5,5,-5,2,-4,5,5,0,3,14,0,1,4
